MAG,LOCAL DATETIME,LAT,LON,DEPTH
,y/m/d h:m:s,deg,deg,km
0.8,09/04/2022 02:46,33.586N,116.802W,7.57
0.9,09/04/2022 02:23,38.820N,122.767W,2.02
1.1,09/04/2022 02:12,33.719N,116.844W,15.28
1.1,09/04/2022 02:11,38.820N,122.788W,7.27
0.4,09/04/2022 01:04,38.818N,122.764W,1.43
0.9,09/04/2022 00:50,32.928N,116.225W,9.18
0.6,09/04/2022 00:25,35.943N,117.668W,5.86
1.1,09/04/2022 00:11,37.115N,115.328W,2.8
2,09/04/2022 00:09,36.697N,121.358W,1.38
0.3,08/04/2022 23:48,38.749N,122.741W,1.87
1.1,08/04/2022 23:19,35.724N,117.546W,8.09
1.2,08/04/2022 22:59,38.815N,122.820W,2.81
0.8,08/04/2022 22:50,33.508N,116.566W,11.3
0.6,08/04/2022 22:49,36.784N,115.932W,10.9
0.8,08/04/2022 22:36,38.811N,122.777W,1.05
0.9,08/04/2022 22:26,38.832N,122.810W,2.41
0.8,08/04/2022 22:11,38.832N,122.816W,1.66
1.4,08/04/2022 21:59,37.172N,115.186W,8.1
1.5,08/04/2022 21:50,36.013N,120.577W,3.54
1.6,08/04/2022 19:55,32.703N,115.502W,15.19
0.5,08/04/2022 19:51,35.693N,117.487W,4.42
1.4,08/04/2022 19:45,38.007N,117.915W,0.9
2.4,08/04/2022 19:41,32.762N,115.416W,9.42
2.3,08/04/2022 19:33,35.041N,116.973W,1.87
1.3,08/04/2022 19:24,37.651N,121.818W,12.84
2,08/04/2022 19:04,37.118N,115.304W,9.8
0.9,08/04/2022 17:44,38.826N,122.856W,2.42
1.3,08/04/2022 17:34,38.178N,117.933W,6.9
1.3,08/04/2022 17:15,32.901N,115.515W,9.24
1.1,08/04/2022 17:08,38.794N,122.749W,2.08
2.3,08/04/2022 16:57,39.731N,123.513W,12.33
0.4,08/04/2022 16:33,38.822N,122.853W,2.57
0.7,08/04/2022 15:59,35.633N,117.466W,5.63
1.4,08/04/2022 15:26,36.542N,121.123W,3.18
0.5,08/04/2022 15:20,36.786N,115.939W,11.1
0.8,08/04/2022 15:19,33.876N,117.502W,-0.46
0.8,08/04/2022 15:02,38.815N,122.820W,2.87
0.8,08/04/2022 14:50,35.632N,117.469W,5.9
1.4,08/04/2022 14:26,34.873N,119.219W,10.71
0.4,08/04/2022 14:18,35.624N,117.473W,6.57
0.4,08/04/2022 14:17,38.787N,122.766W,2.61
0.9,08/04/2022 14:17,38.787N,122.767W,2.9
1.5,08/04/2022 14:15,33.386N,116.412W,12.43
1.5,08/04/2022 14:12,38.169N,117.881W,8.8
1,08/04/2022 14:08,35.625N,117.468W,6.95
1.6,08/04/2022 13:03,36.590N,121.191W,6.68
1.1,08/04/2022 13:01,37.100N,115.408W,23.9
1.6,08/04/2022 12:40,37.116N,115.317W,0
0.6,08/04/2022 12:36,35.900N,117.687W,7.03
1,08/04/2022 12:33,38.826N,122.802W,1.87
0.9,08/04/2022 12:09,35.900N,117.694W,3.94
1.7,08/04/2022 12:07,40.495N,122.019W,14.12
1.2,08/04/2022 12:05,38.166N,117.821W,8.4
1.3,08/04/2022 12:02,37.103N,115.382W,20.8
1.4,08/04/2022 11:46,35.059N,118.334W,-1.01
1.6,08/04/2022 11:44,32.963N,115.870W,9.22
0.7,08/04/2022 11:39,35.797N,120.350W,9.59
0.2,08/04/2022 11:09,36.086N,117.617W,8.07
2.8,08/04/2022 11:04,35.798N,120.347W,10.26
1.2,08/04/2022 11:02,37.118N,115.395W,20.6
1.3,08/04/2022 10:54,38.167N,117.824W,10.1
0.8,08/04/2022 10:45,35.775N,117.582W,7.84
1.2,08/04/2022 10:35,38.172N,117.885W,11.4
-0.2,08/04/2022 10:23,38.785N,122.773W,0.95
0.8,08/04/2022 10:23,38.785N,122.775W,-0.18
1.2,08/04/2022 10:19,33.819N,117.486W,2.68
0.4,08/04/2022 10:17,38.843N,122.826W,1.92
2,08/04/2022 10:02,36.678N,121.303W,3.83
0.3,08/04/2022 09:29,38.834N,122.811W,2.42
1.4,08/04/2022 09:15,34.873N,119.213W,10.66
0.4,08/04/2022 08:45,33.487N,116.557W,8.16
0.4,08/04/2022 08:45,33.410N,116.400W,11.42
1.6,08/04/2022 08:36,33.505N,116.501W,14.13
0.3,08/04/2022 08:22,38.753N,122.710W,1.39
0.6,08/04/2022 08:01,33.550N,116.678W,7.7
1.5,08/04/2022 07:26,37.102N,115.312W,0
1.4,08/04/2022 07:14,38.178N,117.903W,9.5
0.8,08/04/2022 07:13,37.580N,118.865W,3.46
0.5,08/04/2022 07:05,38.816N,122.807W,1.58
1,08/04/2022 06:55,37.504N,118.862W,5.69
0.9,08/04/2022 06:45,33.257N,116.123W,11.49
1.8,08/04/2022 06:42,32.465N,115.533W,13.91
0.9,08/04/2022 06:41,38.171N,117.900W,10.5
1.6,08/04/2022 06:15,35.666N,117.482W,6.58
1.2,08/04/2022 06:10,37.121N,115.375W,23
1.7,08/04/2022 06:02,37.124N,115.314W,0
0.4,08/04/2022 06:00,38.831N,122.810W,2.12
0.5,08/04/2022 05:43,36.006N,117.803W,1.08
1.3,08/04/2022 05:33,37.080N,115.328W,0
2.5,08/04/2022 05:18,37.102N,115.324W,5
0.6,08/04/2022 05:15,38.832N,122.818W,2.73
0.7,08/04/2022 05:14,36.089N,117.886W,1.65
0.7,08/04/2022 05:08,38.823N,122.795W,2.18
1.5,08/04/2022 05:08,33.504N,116.450W,6.14
0.7,08/04/2022 04:57,33.036N,116.424W,10.63
0.5,08/04/2022 04:51,38.836N,122.797W,1.94
